procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 842687936      8 72789488    0    0     0    52 22486 93809  3  0 96  0  0
 4  0      0 842657088      8 72789488    0    0     0    54 22495 98925  3  0 96  0  0
 2  0      0 842625024      8 72789416    0    0     0    52 22193 90973  3  0 96  0  0
 2  0      0 842589952      8 72789416    0    0     0    54 22585 95118  3  0 96  0  0
 3  0      0 842559104      8 72789424    0    0     0    82 22053 91882  3  0 96  0  0
 2  0      0 840346368      8 72789424    0    0     0    54 22396 93044  3  0 96  0  0
 3  0      0 850617280      8 72789872    0    0     0    52 22374 91251  3  0 96  0  0
 2  0      0 850169152      8 72789920    0    0     0    54 21799 91376  3  0 96  0  0
 5  0      0 849936000      8 72790256    0    0     0    54 22124 94089  3  0 96  0  0
66  0      0 848489600      8 72790280    0    0     0    52 21865 90866  3  0 96  0  0
 2  0      0 848563264      8 72790384    0    0     0    59 22582 98931  3  0 96  0  0
 2  0      0 848775744      8 72791056    0    0     0    53 22204 94190  3  0 96  0  0
 2  0      0 848775680      8 72791024    0    0     0    55 22157 93867  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 848777152      8 72791024    0    0     0    54 21614 90252  3  0 96  0  0
 2  0      0 848776512      8 72791024    0    0     0    52 22457 93373  4  0 96  0  0
 2  0      0 848775936      8 72791024    0    0     0    56 22297 91787  3  0 96  0  0
 4  0      0 848775040      8 72791024    0    0     0    55 22470 95721  3  0 96  0  0
 9  0      0 848776832      8 72791024    0    0     0    54 21943 92020  3  0 96  0  0
 2  0      0 848776768      8 72790864    0    0     0    52 22242 93296  3  0 96  0  0
 2  0      0 848777216      8 72790864    0    0     0    55 22120 95690  3  0 96  0  0
67  0      0 848776128      8 72790864    0    0     0    55 22571 95283  3  0 96  0  0
 3  0      0 848775808      8 72790888    0    0     0    59 22887 97248  4  0 96  0  0
 2  0      0 848776064      8 72790880    0    0     0    60 21925 146731  3  0 96  0  0
 3  0      0 848777152      8 72790880    0    0     0    52 22687 97027  3  0 96  0  0
 4  0      0 848776320      8 72790880    0    0     0    52 22072 90491  3  0 96  0  0
 9  0      0 848768768      8 72790880    0    0     0    53 22409 95131  3  0 96  0  0
 5  0      0 848768192      8 72790880    0    0     0    52 21821 91830  3  0 96  0  0
11  0      0 848768128      8 72790824    0    0     0     0 22072 91823  3  0 96  0  0
90  0      0 848768064      8 72790824    0    0     0    79 21858 90386  3  0 96  0  0
 2  0      0 848767552      8 72790824    0    0     0    54 22276 91757  3  0 96  0  0
 2  0      0 848469632      8 72790864    0    0     0    52 22288 94761  3  0 96  0  0
 2  0      0 848468096      8 72790864    0    0     0    53 22178 93114  3  0 96  0  0
 2  0      0 848469824      8 72790864    0    0     0    52 21860 90524  3  0 96  0  0
 2  0      0 848469632      8 72790864    0    0     0    54 22446 100801  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
66  0      0 848470336      8 72790808    0    0     0    76 22302 92999  3  0 96  0  0
 2  0      0 848469376      8 72790808    0    0     0    53 22161 121526  3  0 96  0  0
 3  0      0 848469952      8 72790808    0    0     0    52 22516 96126  3  0 96  0  0
 5  0      0 848470208      8 72790808    0    0     0    52 22219 122941  3  0 96  0  0
 2  0      0 848471104      8 72790664    0    0     0    58 22241 92474  3  0 96  0  0
 2  0      0 848470656      8 72790672    0    0     0    52 22292 111373  3  0 96  0  0
 3  0      0 848470208      8 72790672    0    0     0    58 22550 97859  3  0 96  0  0
 6  0      0 848470336      8 72790672    0    0     0    52 21807 121170  3  0 96  0  0
 4  0      0 848469056      8 72790672    0    0     0    54 22599 97389  4  0 96  0  0
 3  0      0 848469248      8 72790672    0    0     0    54 21970 91132  3  0 96  0  0
 3  0      0 848469184      8 72790672    0    0     0    55 21851 90325  3  0 96  0  0
 2  0      0 848470464      8 72790672    0    0     0    58 22854 97988  4  0 96  0  0
 2  0      0 848469888      8 72790688    0    0     0    67 21749 91951  3  0 96  0  0
 2  0      0 848469952      8 72790688    0    0     0    52 22600 125624  3  0 96  0  0
 4  0      0 848568768      8 72790904    0    0     0    53 22170 92154  3  0 96  0  0
 4  0      0 848415552      8 72790912    0    0     0    55 22611 90913  3  0 96  0  0
 3  0      0 848415936      8 72790912    0    0     0    55 22226 92333  3  0 96  0  0
 2  0      0 848416064      8 72790912    0    0     0    52 22264 92212  3  0 96  0  0
 2  0      0 848416064      8 72790912    0    0     0    85 22258 100259  3  0 96  0  0
 3  0      0 848415168      8 72790912    0    0     0    54 22833 123546  3  0 96  0  0
 5  0      0 848416384      8 72790912    0    0     0    53 22203 113877  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 848416640      8 72790912    0    0     0    52 22361 93002  3  0 96  0  0
 2  0      0 848417408      8 72790848    0    0     0    52 22159 96375  3  0 96  0  0
 2  0      0 848416064      8 72790848    0    0     0    52 23264 131365  3  0 96  0  0
 3  0      0 848416960      8 72790848    0    0     0    61 22142 89290  3  0 96  0  0
 2  0      0 848416640      8 72790848    0    0     0    52 22905 95430  4  0 96  0  0
 2  0      0 848417280      8 72790848    0    0     0    54 22270 92323  3  0 96  0  0
 4  0      0 848415040      8 72790848    0    0     0    52 22106 92620  3  0 96  0  0
 2  0      0 848414528      8 72790856    0    0     0    54 22620 93770  3  0 96  0  0
 5  0      0 848416576      8 72790856    0    0     0    54 22172 93569  3  0 96  0  0
